"NAME,C,20","LGA,C,20","TLAT,N,14,8","TLONG,N,14,8"
Talwood,Goondiwindi Regional,-28.37300000,149.39500000
Chillagoe,Tablelands Regional,-17.15493500,144.52455900
Pomona,Sunshine Coast Regio,-26.36666800,152.85344800
Tewantin,Sunshine Coast Regio,-26.38305100,153.02966100
Great Keppel Island,Rockhampton Regional,-23.17285700,150.96282200
Yeppoon,Rockhampton Regional,-23.14100000,150.73640000
Port Douglas,Cairns Regional Coun,-16.47900000,145.46320000
Cooroy,Sunshine Coast Regio,-26.41478300,152.91155400
Gin Gin,Bundaberg Regional C,-24.99084000,151.95590400
Hervey Bay,Fraser Coast Regiona,-25.26525800,152.82735300
Howard,Fraser Coast Regiona,-25.32099600,152.56478100
Glenwood,Fraser Coast Regiona,-25.92710000,152.60800000
Gayndah,North Burnett Region,-25.62171200,151.60589500
Monto,North Burnett Region,-24.86513500,151.11997700
Mundubbera,North Burnett Region,-25.58917000,151.30136400
Woodford,Moreton Bay Regional,-26.94230000,152.76100000
Cooktown,Cook Shire Council,-15.47690000,145.24310000
St Pauls,Torres Strait Island,-10.18406550,142.32040890
Burrum Heads,Fraser Coast Regiona,-25.20390000,152.61060000
Orchid Beach,Fraser Coast Regiona,-29.06065100,151.32140540
Maryborough,Fraser Coast Regiona,-25.53834600,152.69276500
Mount Perry,North Burnett Region,-25.18370970,151.64769030
Tully,Cassowary Coast Regi,-17.93187700,145.92511400
Kuranda,,-16.83300000,145.62170000
Mareeba,Tablelands Regional,-17.00070700,145.42184200
Keppel Sands,Rockhampton Regional,-23.32410000,150.79100000
Marlborough,Rockhampton Regional,-22.81400000,149.89180000
Daintree,Cairns Regional Coun,-16.24905200,145.32037100
